127.0.0.1, 2015-11-16 23:07:20, GET, /itproject/default/download/News.image.a846235ae099dfab.62696762757379312e6a7067.jpg, HTTP/1.1, 200, 0.012792
127.0.0.1, 2015-11-16 23:07:20, GET, /itproject/default/download/News.image.b62660734f0e9e3d.62696762757379332e6a7067.jpg, HTTP/1.1, 200, 0.021021
127.0.0.1, 2015-11-16 23:07:27, GET, /itproject/default/sports/10, HTTP/1.1, 200, 0.027918
127.0.0.1, 2015-11-16 23:07:29, GET, /itproject/default/index, HTTP/1.1, 200, 0.020945
127.0.0.1, 2015-11-16 23:07:29, GET, /itproject/default/download/News.image.8dbb6297e09fd044.6e657773352e6a7067.jpg, HTTP/1.1, 200, 0.013702
127.0.0.1, 2015-11-16 23:07:29, GET, /itproject/default/download/News.image.9ccb3eaa5ebfd4a2.626967656e746572312e6a7067.jpg, HTTP/1.1, 200, 0.023194
127.0.0.1, 2015-11-16 23:07:29, GET, /itproject/default/download/News.image.936d27512efca961.626967696e746572322e6a7067.jpg, HTTP/1.1, 200, 0.031625
127.0.0.1, 2015-11-16 23:07:29, GET, /itproject/default/download/News.image.90c6792d127449ed.6e657773372e6a7067.jpg, HTTP/1.1, 200, 0.040762
127.0.0.1, 2015-11-16 23:07:30, GET, /admin/default/site, HTTP/1.1, 200, 0.028798
127.0.0.1, 2015-11-16 23:07:38, GET, /itproject/default/index, HTTP/1.1, 200, 0.030078
127.0.0.1, 2015-11-16 23:07:38, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000227
127.0.0.1, 2015-11-16 23:07:38, GET, /itproject/default/download/News.image.a41bda7388e9e67c.6e657773332e6a7067.jpg, HTTP/1.1, 200, 0.015006
127.0.0.1, 2015-11-16 23:07:38, GET, /itproject/default/download/News.image.b3c8516a564bcb5b.626967656e746572332e6a7067.jpg, HTTP/1.1, 200, 0.027188
127.0.0.1, 2015-11-16 23:07:38, GET, /itproject/default/download/News.image.b4b5e0d240e3b041.42494749504c2e6a7067.jpg, HTTP/1.1, 200, 0.035387
127.0.0.1, 2015-11-16 23:09:00, GET, /itproject/default/entertainment/15, HTTP/1.1, 200, 0.018770
127.0.0.1, 2015-11-16 23:09:00, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000291
127.0.0.1, 2015-11-16 23:09:14, GET, /itproject/default/international, HTTP/1.1, 200, 0.020694
127.0.0.1, 2015-11-16 23:09:14, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000257
127.0.0.1, 2015-11-16 23:09:14, GET, /itproject/default/download/News.image.834e5049d82f1e75.626967696e746572332e6a7067.jpg, HTTP/1.1, 200, 0.015571
127.0.0.1, 2015-11-16 23:09:32, GET, /itproject/default/index, HTTP/1.1, 200, 0.022471
127.0.0.1, 2015-11-16 23:09:33, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2015-11-16 23:09:34, GET, /itproject/default/index, HTTP/1.1, 200, 0.021532
127.0.0.1, 2015-11-16 23:09:34, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000222
127.0.0.1, 2015-11-16 23:09:34, GET, /itproject/default/download/News.image.a76d0a7977d81925.62696769706c322e6a7067.jpg, HTTP/1.1, 200, 0.019691
127.0.0.1, 2015-11-16 23:09:34, GET, /itproject/default/download/News.image.861795b0a0d28ba5.6e657773362e6a7067.jpg, HTTP/1.1, 200, 0.035520
127.0.0.1, 2015-11-16 23:09:50, GET, /itproject/default/politics/5, HTTP/1.1, 200, 0.020198
127.0.0.1, 2015-11-16 23:09:50, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2015-11-16 23:09:57, GET, /itproject/default/index, HTTP/1.1, 200, 0.028168
